,VIF
credit_spread,3.5482433239841136
vix,2.1247478736004224
continuing_claims,1.799740831502317
yield_curve_slope,1.7895212233666609
industrial_production,1.6279323791236622
fed_funds_rate,1.3662184045647316
m2_money_supply,1.3653053108046638
cpi,1.3383589332916297
unemployment_rate,1.331111588278428
initial_jobless_claims,1.3039064194372751
oil_price,1.241529225411578
real_person_income,1.2282186164148376
consumer_sentiment,1.1742059898231427
dollar_index,1.1522391837092378
housing_starts,1.0908973394934784
